dt	s	region
1973-10-31T00:00:00Z	259.20165528914015	East Side Streams
1973-11-30T00:00:00Z	259.3374132580216	East Side Streams
1973-12-31T00:00:00Z	259.50483607446404	East Side Streams
1974-01-31T00:00:00Z	259.7116399256157	East Side Streams
1974-02-28T00:00:00Z	259.8857532747165	East Side Streams
1974-03-31T00:00:00Z	260.09317111340107	East Side Streams
1974-04-30T00:00:00Z	260.2407312677363	East Side Streams
1974-05-31T00:00:00Z	260.2634138173784	East Side Streams
1974-06-30T00:00:00Z	260.2164111086493	East Side Streams
1974-07-31T00:00:00Z	260.1321556725505	East Side Streams
1974-08-31T00:00:00Z	260.02212163797304	East Side Streams
1974-09-30T00:00:00Z	259.9593348963632	East Side Streams
1974-10-31T00:00:00Z	259.97312616826997	East Side Streams
1974-11-30T00:00:00Z	260.02533804270604	East Side Streams
1974-12-31T00:00:00Z	260.0969783575269	East Side Streams
1975-01-31T00:00:00Z	260.1557812115462	East Side Streams
1975-02-28T00:00:00Z	260.2480275793909	East Side Streams
1975-03-31T00:00:00Z	260.3818687591591	East Side Streams
1975-04-30T00:00:00Z	260.445448960819	East Side Streams
1975-05-31T00:00:00Z	260.405836184062	East Side Streams
1975-06-30T00:00:00Z	260.3119200347806	East Side Streams
1975-07-31T00:00:00Z	260.179725755906	East Side Streams
1975-08-31T00:00:00Z	260.0731428103853	East Side Streams
1975-09-30T00:00:00Z	260.0059183484247	East Side Streams
1975-10-31T00:00:00Z	260.0401517361415	East Side Streams
1975-11-30T00:00:00Z	260.0652657962103	East Side Streams
1975-12-31T00:00:00Z	260.11111134410476	East Side Streams
1976-01-31T00:00:00Z	260.14515507853486	East Side Streams
1976-02-29T00:00:00Z	260.1988273151124	East Side Streams
1976-03-31T00:00:00Z	260.2317256850637	East Side Streams
1976-04-30T00:00:00Z	260.22950338521866	East Side Streams
1976-05-31T00:00:00Z	260.1450809305347	East Side Streams
1976-06-30T00:00:00Z	260.0306708096624	East Side Streams
1976-07-31T00:00:00Z	259.878162421261	East Side Streams
1976-08-31T00:00:00Z	259.76616036040735	East Side Streams
1976-09-30T00:00:00Z	259.70434030789596	East Side Streams
1976-10-31T00:00:00Z	259.6915867469588	East Side Streams
1976-11-30T00:00:00Z	259.71732518405133	East Side Streams
1976-12-31T00:00:00Z	259.7493826152127	East Side Streams
1977-01-31T00:00:00Z	259.79745072474566	East Side Streams
1977-02-28T00:00:00Z	259.84689823198727	East Side Streams
1977-03-31T00:00:00Z	259.88687238146065	East Side Streams
1977-04-30T00:00:00Z	259.8579714683096	East Side Streams
1977-05-31T00:00:00Z	259.8017746905439	East Side Streams
1977-06-30T00:00:00Z	259.67690648210635	East Side Streams
1977-07-31T00:00:00Z	259.524823478985	East Side Streams
1977-08-31T00:00:00Z	259.38000043932925	East Side Streams
1977-09-30T00:00:00Z	259.3055158092237	East Side Streams
1977-10-31T00:00:00Z	259.2757018659252	East Side Streams
1977-11-30T00:00:00Z	259.3060244724621	East Side Streams
1977-12-31T00:00:00Z	259.3806753309487	East Side Streams
1978-01-31T00:00:00Z	259.5527081589662	East Side Streams
1978-02-28T00:00:00Z	259.7122999879964	East Side Streams
1978-03-31T00:00:00Z	259.8628732543842	East Side Streams
1978-04-30T00:00:00Z	260.00618498663295	East Side Streams
1978-05-31T00:00:00Z	260.0225271480896	East Side Streams
1978-06-30T00:00:00Z	259.94761244277237	East Side Streams
1978-07-31T00:00:00Z	259.82305844926594	East Side Streams
1978-08-31T00:00:00Z	259.7138923760789	East Side Streams
1978-09-30T00:00:00Z	259.67517392947906	East Side Streams
1978-10-31T00:00:00Z	259.6634550258544	East Side Streams
1978-11-30T00:00:00Z	259.7008948463621	East Side Streams
1978-12-31T00:00:00Z	259.74689913482047	East Side Streams
1979-01-31T00:00:00Z	259.8550747139008	East Side Streams
